Airline,Source,Destination,Distance,Departure_Time,Weather_Condition,Delay_Status
Go First,Kolkata,Mumbai,1659,Late Night,Clear,On Time
SpiceJet,Delhi,Ahmedabad,889,Evening,Rain,On Time
SpiceJet,Ahmedabad,Mumbai,531,Night,Clear,On Time
Air India,Chennai,Ahmedabad,2041,Afternoon,Clear,On Time
Go First,Pune,Chennai,1229,Early Morning,Cloudy,On Time
SpiceJet,Hyderabad,Kolkata,1500,Evening,Rain,Delayed
Air India,Bangalore,Hyderabad,546,Night,Rain,Delayed
Akasa Air,Mumbai,Kolkata,1602,Morning,Rain,Delayed
SpiceJet,Ahmedabad,Mumbai,519,Late Night,Fog,Delayed
IndiGo,Delhi,Hyderabad,1496,Late Night,Fog,On Time
Akasa Air,Pune,Bangalore,820,Morning,Clear,On Time
Vistara,Ahmedabad,Delhi,915,Afternoon,Cloudy,On Time
Vistara,Bangalore,Delhi,2043,Morning,Rain,On Time
Vistara,Delhi,Kolkata,1504,Morning,Storm,Delayed
Air India,Mumbai,Kolkata,1650,Evening,Storm,Delayed
Akasa Air,Chennai,Mumbai,1404,Afternoon,Fog,On Time
Vistara,Mumbai,Chennai,1275,Night,Clear,On Time
Air India,Chennai,Pune,1243,Afternoon,Fog,Delayed
IndiGo,Mumbai,Pune,143,Early Morning,Clear,Delayed
Air India,Delhi,Ahmedabad,927,Afternoon,Rain,Delayed
SpiceJet,Delhi,Chennai,2268,Early Morning,Cloudy,On Time
SpiceJet,Pune,Ahmedabad,641,Late Night,Clear,On Time
SpiceJet,Bangalore,Delhi,2231,Morning,Storm,On Time
IndiGo,Ahmedabad,Pune,684,Late Night,Cloudy,On Time
SpiceJet,Mumbai,Hyderabad,677,Evening,Clear,On Time
Vistara,Chennai,Mumbai,1370,Evening,Fog,On Time
Vistara,Chennai,Mumbai,1324,Morning,Cloudy,Delayed
Akasa Air,Ahmedabad,Chennai,1887,Night,Storm,Delayed
IndiGo,Kolkata,Chennai,1434,Evening,Fog,On Time
Vistara,Hyderabad,Pune,561,Evening,Clear,On Time
Air India,Bangalore,Hyderabad,569,Late Night,Rain,Delayed
Vistara,Hyderabad,Pune,535,Early Morning,Fog,On Time
Akasa Air,Kolkata,Hyderabad,1461,Late Night,Rain,Delayed
Vistara,Bangalore,Hyderabad,559,Night,Fog,On Time
Air India,Kolkata,Hyderabad,1513,Night,Cloudy,Delayed
SpiceJet,Mumbai,Pune,151,Night,Rain,Delayed
Go First,Chennai,Ahmedabad,2018,Evening,Storm,Delayed
Vistara,Mumbai,Hyderabad,697,Late Night,Clear,On Time
Air India,Kolkata,Ahmedabad,2041,Night,Rain,On Time
Go First,Kolkata,Mumbai,1589,Late Night,Clear,Delayed
Go First,Mumbai,Ahmedabad,515,Late Night,Cloudy,On Time
IndiGo,Ahmedabad,Bangalore,1531,Evening,Fog,Delayed
Go First,Bangalore,Delhi,2122,Morning,Storm,Delayed
Air India,Delhi,Ahmedabad,952,Late Night,Rain,On Time
Go First,Chennai,Hyderabad,625,Evening,Fog,On Time
Air India,Hyderabad,Pune,556,Night,Rain,On Time
Akasa Air,Bangalore,Mumbai,1020,Early Morning,Rain,On Time
Go First,Chennai,Ahmedabad,2010,Morning,Storm,Delayed
Air India,Pune,Mumbai,151,Evening,Cloudy,On Time
Go First,Delhi,Bangalore,2162,Late Night,Cloudy,Delayed
SpiceJet,Hyderabad,Pune,537,Night,Clear,On Time
Vistara,Kolkata,Bangalore,1957,Late Night,Fog,On Time
IndiGo,Mumbai,Hyderabad,718,Evening,Rain,Delayed
Akasa Air,Hyderabad,Ahmedabad,1179,Early Morning,Cloudy,On Time
Air India,Ahmedabad,Hyderabad,1255,Evening,Clear,Delayed
SpiceJet,Delhi,Pune,1490,Afternoon,Rain,Delayed
Air India,Kolkata,Bangalore,1843,Night,Fog,Delayed
Akasa Air,Ahmedabad,Mumbai,509,Late Night,Fog,Delayed
Vistara,Chennai,Ahmedabad,1913,Late Night,Rain,On Time
Air India,Mumbai,Bangalore,989,Early Morning,Storm,Delayed
Air India,Hyderabad,Bangalore,597,Morning,Fog,On Time
SpiceJet,Ahmedabad,Pune,693,Morning,Clear,On Time
Akasa Air,Chennai,Kolkata,1393,Afternoon,Clear,On Time
Go First,Hyderabad,Delhi,1632,Late Night,Storm,On Time
SpiceJet,Pune,Bangalore,880,Night,Rain,Delayed
Vistara,Pune,Hyderabad,568,Afternoon,Storm,On Time
SpiceJet,Kolkata,Chennai,1320,Evening,Fog,On Time
Air India,Ahmedabad,Mumbai,549,Early Morning,Clear,On Time
Go First,Delhi,Hyderabad,1635,Afternoon,Fog,Delayed
Akasa Air,Ahmedabad,Bangalore,1510,Early Morning,Fog,On Time
Akasa Air,Chennai,Ahmedabad,2006,Early Morning,Clear,On Time
Vistara,Delhi,Kolkata,1563,Early Morning,Storm,Delayed
IndiGo,Kolkata,Hyderabad,1506,Early Morning,Storm,On Time
Vistara,Mumbai,Delhi,1420,Afternoon,Rain,On Time
SpiceJet,Bangalore,Mumbai,1011,Morning,Clear,On Time
Akasa Air,Pune,Ahmedabad,669,Early Morning,Clear,On Time
IndiGo,Kolkata,Mumbai,1652,Evening,Rain,Delayed
Vistara,Chennai,Delhi,2086,Night,Clear,Delayed
IndiGo,Kolkata,Bangalore,1783,Evening,Storm,On Time
IndiGo,Pune,Bangalore,816,Morning,Fog,Delayed
Air India,Bangalore,Chennai,329,Night,Rain,Delayed
SpiceJet,Ahmedabad,Hyderabad,1183,Evening,Clear,Delayed
SpiceJet,Pune,Mumbai,143,Late Night,Rain,Delayed
SpiceJet,Delhi,Chennai,2170,Early Morning,Cloudy,On Time
Akasa Air,Delhi,Kolkata,1597,Evening,Clear,On Time
Air India,Mumbai,Delhi,1471,Night,Cloudy,On Time
SpiceJet,Pune,Hyderabad,544,Morning,Storm,On Time
Go First,Bangalore,Pune,859,Night,Fog,Delayed
IndiGo,Kolkata,Pune,1797,Evening,Storm,On Time
SpiceJet,Bangalore,Delhi,2146,Early Morning,Fog,On Time
IndiGo,Kolkata,Mumbai,1710,Afternoon,Storm,Delayed
Go First,Kolkata,Delhi,1530,Morning,Cloudy,On Time
Air India,Bangalore,Mumbai,957,Early Morning,Rain,Delayed
Vistara,Bangalore,Kolkata,1888,Night,Rain,Delayed
IndiGo,Ahmedabad,Chennai,2047,Night,Fog,Delayed
IndiGo,Ahmedabad,Delhi,918,Afternoon,Cloudy,On Time
SpiceJet,Kolkata,Ahmedabad,1967,Afternoon,Rain,Delayed
IndiGo,Delhi,Hyderabad,1646,Afternoon,Cloudy,Delayed
Go First,Chennai,Hyderabad,659,Afternoon,Storm,Delayed
SpiceJet,Delhi,Chennai,2077,Evening,Storm,Delayed
SpiceJet,Pune,Kolkata,1947,Night,Rain,On Time
SpiceJet,Kolkata,Delhi,1576,Evening,Fog,On Time
Go First,Delhi,Pune,1459,Night,Clear,On Time
Go First,Mumbai,Delhi,1397,Late Night,Clear,On Time
Vistara,Ahmedabad,Hyderabad,1277,Early Morning,Storm,On Time
IndiGo,Mumbai,Ahmedabad,518,Night,Clear,Delayed
Akasa Air,Delhi,Bangalore,2207,Afternoon,Fog,On Time
Akasa Air,Bangalore,Chennai,352,Night,Cloudy,On Time
Akasa Air,Delhi,Pune,1504,Evening,Cloudy,Delayed
IndiGo,Ahmedabad,Delhi,943,Late Night,Clear,Delayed
Vistara,Chennai,Delhi,2235,Evening,Storm,Delayed
Akasa Air,Hyderabad,Chennai,637,Afternoon,Rain,Delayed
SpiceJet,Hyderabad,Kolkata,1555,Night,Clear,Delayed
Air India,Pune,Mumbai,152,Afternoon,Storm,Delayed
Go First,Pune,Chennai,1141,Evening,Clear,On Time
Akasa Air,Ahmedabad,Bangalore,1551,Early Morning,Rain,On Time
Go First,Ahmedabad,Mumbai,513,Evening,Rain,Delayed
Air India,Bangalore,Ahmedabad,1549,Afternoon,Clear,On Time
Go First,Chennai,Hyderabad,632,Late Night,Cloudy,Delayed
IndiGo,Pune,Ahmedabad,645,Early Morning,Cloudy,Delayed
Air India,Mumbai,Hyderabad,678,Evening,Fog,On Time
Akasa Air,Ahmedabad,Delhi,914,Night,Cloudy,On Time
Air India,Mumbai,Chennai,1325,Night,Cloudy,On Time
Air India,Kolkata,Hyderabad,1434,Early Morning,Fog,On Time
Air India,Mumbai,Chennai,1310,Early Morning,Rain,Delayed
IndiGo,Kolkata,Ahmedabad,1934,Evening,Rain,On Time
SpiceJet,Bangalore,Kolkata,1944,Morning,Rain,Delayed
Vistara,Delhi,Chennai,2077,Afternoon,Fog,Delayed
IndiGo,Chennai,Kolkata,1419,Afternoon,Rain,On Time
Vistara,Kolkata,Mumbai,1656,Early Morning,Fog,On Time
Akasa Air,Chennai,Mumbai,1338,Late Night,Clear,Delayed
IndiGo,Pune,Hyderabad,586,Early Morning,Storm,On Time
Air India,Bangalore,Hyderabad,556,Early Morning,Rain,On Time
IndiGo,Hyderabad,Kolkata,1516,Evening,Storm,Delayed
IndiGo,Delhi,Pune,1440,Morning,Fog,Delayed
Go First,Pune,Delhi,1476,Late Night,Clear,On Time
Akasa Air,Ahmedabad,Kolkata,1870,Night,Clear,On Time
Akasa Air,Bangalore,Chennai,340,Evening,Storm,Delayed
Vistara,Ahmedabad,Chennai,1982,Late Night,Storm,On Time
SpiceJet,Delhi,Hyderabad,1525,Morning,Clear,On Time
IndiGo,Bangalore,Chennai,351,Late Night,Fog,Delayed
Akasa Air,Ahmedabad,Delhi,944,Afternoon,Clear,On Time
Go First,Mumbai,Bangalore,997,Night,Fog,Delayed
Go First,Hyderabad,Pune,542,Evening,Clear,On Time
IndiGo,Chennai,Pune,1181,Night,Fog,On Time
SpiceJet,Chennai,Kolkata,1357,Early Morning,Storm,On Time
Go First,Mumbai,Kolkata,1582,Early Morning,Storm,Delayed
SpiceJet,Delhi,Mumbai,1355,Morning,Cloudy,Delayed
Go First,Hyderabad,Mumbai,684,Evening,Rain,On Time
Vistara,Pune,Ahmedabad,689,Morning,Clear,On Time
IndiGo,Chennai,Kolkata,1307,Evening,Fog,On Time
IndiGo,Kolkata,Chennai,1369,Late Night,Rain,Delayed
IndiGo,Mumbai,Hyderabad,693,Early Morning,Clear,On Time
Vistara,Ahmedabad,Delhi,912,Night,Clear,On Time
Vistara,Ahmedabad,Chennai,1996,Afternoon,Rain,Delayed
Akasa Air,Pune,Mumbai,146,Night,Cloudy,On Time
Akasa Air,Kolkata,Delhi,1501,Morning,Clear,On Time
Go First,Mumbai,Chennai,1280,Early Morning,Fog,Delayed
IndiGo,Mumbai,Ahmedabad,513,Late Night,Fog,Delayed
Air India,Chennai,Pune,1224,Night,Fog,On Time
Akasa Air,Ahmedabad,Kolkata,1958,Night,Storm,Delayed
SpiceJet,Delhi,Mumbai,1371,Afternoon,Cloudy,Delayed
Air India,Pune,Kolkata,1780,Evening,Fog,On Time
Go First,Hyderabad,Ahmedabad,1213,Early Morning,Cloudy,On Time
Go First,Mumbai,Delhi,1462,Early Morning,Storm,Delayed
Air India,Mumbai,Ahmedabad,512,Evening,Storm,Delayed
Go First,Kolkata,Bangalore,1961,Early Morning,Fog,Delayed
Air India,Ahmedabad,Delhi,901,Afternoon,Fog,Delayed
Akasa Air,Hyderabad,Mumbai,726,Morning,Clear,On Time
IndiGo,Chennai,Mumbai,1384,Late Night,Clear,Delayed
Vistara,Bangalore,Chennai,342,Early Morning,Rain,Delayed
Akasa Air,Hyderabad,Kolkata,1418,Late Night,Storm,Delayed
Akasa Air,Kolkata,Mumbai,1610,Early Morning,Cloudy,On Time
Vistara,Delhi,Hyderabad,1543,Afternoon,Cloudy,On Time
Akasa Air,Ahmedabad,Kolkata,1889,Night,Rain,On Time
IndiGo,Bangalore,Chennai,347,Night,Clear,On Time
Air India,Bangalore,Ahmedabad,1488,Early Morning,Storm,On Time
Air India,Pune,Kolkata,1827,Night,Rain,On Time
IndiGo,Chennai,Bangalore,343,Evening,Clear,Delayed
Go First,Delhi,Mumbai,1445,Early Morning,Cloudy,On Time
IndiGo,Bangalore,Ahmedabad,1430,Early Morning,Fog,Delayed
Air India,Hyderabad,Pune,560,Morning,Clear,On Time
Air India,Pune,Delhi,1502,Late Night,Fog,On Time
Akasa Air,Bangalore,Pune,821,Late Night,Clear,Delayed
Air India,Hyderabad,Bangalore,599,Late Night,Clear,Delayed
Vistara,Hyderabad,Mumbai,745,Evening,Rain,On Time
Akasa Air,Ahmedabad,Delhi,915,Late Night,Cloudy,On Time
SpiceJet,Bangalore,Ahmedabad,1526,Early Morning,Fog,Delayed
IndiGo,Kolkata,Ahmedabad,1874,Early Morning,Clear,On Time
Go First,Pune,Delhi,1432,Late Night,Fog,Delayed
IndiGo,Ahmedabad,Pune,690,Afternoon,Rain,Delayed
SpiceJet,Delhi,Mumbai,1454,Late Night,Clear,Delayed
SpiceJet,Bangalore,Chennai,338,Night,Storm,Delayed
Akasa Air,Pune,Mumbai,151,Evening,Fog,On Time
Go First,Ahmedabad,Kolkata,1861,Afternoon,Rain,On Time
Vistara,Ahmedabad,Bangalore,1491,Evening,Fog,On Time
Air India,Mumbai,Delhi,1485,Evening,Clear,Delayed
Vistara,Ahmedabad,Bangalore,1512,Evening,Rain,On Time
IndiGo,Pune,Ahmedabad,674,Evening,Clear,On Time
Go First,Hyderabad,Pune,536,Evening,Rain,On Time
Air India,Kolkata,Mumbai,1677,Late Night,Rain,On Time
IndiGo,Pune,Hyderabad,572,Afternoon,Fog,On Time
Akasa Air,Delhi,Bangalore,2250,Late Night,Rain,Delayed
IndiGo,Ahmedabad,Chennai,1930,Afternoon,Cloudy,On Time
IndiGo,Hyderabad,Chennai,608,Night,Storm,Delayed
IndiGo,Hyderabad,Delhi,1613,Afternoon,Cloudy,Delayed
Vistara,Ahmedabad,Hyderabad,1177,Night,Clear,On Time
Akasa Air,Delhi,Bangalore,2127,Afternoon,Fog,On Time
IndiGo,Hyderabad,Kolkata,1540,Night,Fog,Delayed
SpiceJet,Hyderabad,Mumbai,746,Late Night,Clear,On Time
Go First,Ahmedabad,Delhi,898,Evening,Storm,On Time
IndiGo,Hyderabad,Kolkata,1547,Evening,Rain,Delayed
SpiceJet,Kolkata,Pune,1899,Night,Cloudy,Delayed
SpiceJet,Hyderabad,Kolkata,1551,Evening,Clear,On Time
Akasa Air,Delhi,Ahmedabad,899,Night,Rain,On Time
Vistara,Pune,Chennai,1180,Afternoon,Fog,Delayed
Akasa Air,Kolkata,Ahmedabad,1947,Late Night,Storm,On Time
IndiGo,Pune,Bangalore,868,Early Morning,Cloudy,On Time
Akasa Air,Delhi,Ahmedabad,942,Late Night,Rain,Delayed
SpiceJet,Delhi,Pune,1513,Night,Clear,Delayed
IndiGo,Chennai,Bangalore,344,Night,Rain,Delayed
IndiGo,Bangalore,Kolkata,1856,Late Night,Cloudy,Delayed
IndiGo,Hyderabad,Bangalore,563,Night,Cloudy,On Time
Vistara,Bangalore,Kolkata,1908,Late Night,Cloudy,On Time
Akasa Air,Delhi,Mumbai,1423,Late Night,Clear,On Time
Akasa Air,Kolkata,Hyderabad,1491,Night,Storm,Delayed
SpiceJet,Ahmedabad,Hyderabad,1229,Late Night,Rain,On Time
IndiGo,Bangalore,Delhi,2090,Evening,Clear,On Time
Vistara,Mumbai,Ahmedabad,547,Afternoon,Cloudy,Delayed
Air India,Kolkata,Chennai,1429,Night,Storm,Delayed
Go First,Chennai,Bangalore,362,Late Night,Rain,On Time
SpiceJet,Mumbai,Chennai,1282,Afternoon,Storm,On Time
Air India,Mumbai,Bangalore,1031,Late Night,Cloudy,On Time
Air India,Ahmedabad,Kolkata,1878,Morning,Cloudy,On Time
Akasa Air,Kolkata,Mumbai,1605,Afternoon,Clear,On Time
IndiGo,Delhi,Mumbai,1477,Morning,Storm,Delayed
Vistara,Hyderabad,Mumbai,690,Night,Rain,Delayed
Akasa Air,Chennai,Bangalore,336,Early Morning,Storm,Delayed
Vistara,Chennai,Ahmedabad,1982,Evening,Clear,On Time
Vistara,Kolkata,Hyderabad,1500,Early Morning,Rain,On Time
SpiceJet,Mumbai,Hyderabad,723,Morning,Cloudy,Delayed
Air India,Kolkata,Ahmedabad,2013,Early Morning,Fog,On Time
Air India,Delhi,Hyderabad,1631,Late Night,Rain,Delayed
Go First,Pune,Bangalore,864,Late Night,Rain,Delayed
Akasa Air,Ahmedabad,Hyderabad,1240,Evening,Fog,On Time
Vistara,Kolkata,Ahmedabad,2039,Evening,Rain,On Time
Air India,Bangalore,Kolkata,1949,Early Morning,Storm,Delayed
Vistara,Bangalore,Hyderabad,578,Early Morning,Clear,On Time
Go First,Pune,Kolkata,1950,Afternoon,Cloudy,On Time
Air India,Mumbai,Bangalore,1000,Early Morning,Rain,On Time
Vistara,Bangalore,Delhi,2150,Morning,Storm,On Time
Air India,Hyderabad,Chennai,614,Afternoon,Cloudy,On Time
Air India,Pune,Ahmedabad,649,Morning,Fog,Delayed
Akasa Air,Bangalore,Chennai,354,Evening,Fog,Delayed
IndiGo,Kolkata,Chennai,1382,Evening,Fog,On Time
Go First,Chennai,Ahmedabad,1892,Morning,Fog,Delayed
Akasa Air,Mumbai,Hyderabad,736,Afternoon,Cloudy,On Time
Vistara,Ahmedabad,Bangalore,1464,Early Morning,Fog,Delayed
IndiGo,Chennai,Pune,1186,Late Night,Clear,On Time
Air India,Hyderabad,Chennai,610,Late Night,Storm,Delayed
IndiGo,Hyderabad,Bangalore,562,Evening,Storm,Delayed
Akasa Air,Bangalore,Chennai,344,Morning,Storm,Delayed
SpiceJet,Ahmedabad,Hyderabad,1215,Night,Fog,On Time
IndiGo,Bangalore,Mumbai,993,Morning,Storm,Delayed
Vistara,Chennai,Delhi,2280,Early Morning,Fog,On Time
Air India,Mumbai,Hyderabad,732,Morning,Rain,On Time
Vistara,Mumbai,Delhi,1451,Evening,Cloudy,Delayed
Akasa Air,Hyderabad,Kolkata,1527,Night,Storm,On Time
Go First,Chennai,Bangalore,358,Evening,Fog,On Time
Akasa Air,Bangalore,Ahmedabad,1446,Early Morning,Clear,On Time
Air India,Bangalore,Delhi,2099,Night,Clear,Delayed
Akasa Air,Delhi,Chennai,2266,Evening,Storm,On Time
Air India,Bangalore,Pune,826,Evening,Rain,On Time
SpiceJet,Kolkata,Ahmedabad,1952,Early Morning,Fog,On Time
Air India,Pune,Kolkata,1912,Early Morning,Storm,Delayed
Vistara,Kolkata,Delhi,1519,Evening,Storm,Delayed
IndiGo,Hyderabad,Pune,582,Night,Storm,Delayed
Air India,Delhi,Kolkata,1496,Late Night,Fog,Delayed
Vistara,Delhi,Hyderabad,1651,Evening,Rain,On Time
IndiGo,Hyderabad,Kolkata,1510,Afternoon,Cloudy,On Time
SpiceJet,Mumbai,Kolkata,1645,Early Morning,Fog,Delayed
Go First,Chennai,Pune,1237,Afternoon,Rain,Delayed
IndiGo,Delhi,Mumbai,1389,Late Night,Rain,Delayed
Air India,Bangalore,Hyderabad,592,Afternoon,Storm,Delayed
SpiceJet,Chennai,Kolkata,1425,Early Morning,Rain,Delayed
SpiceJet,Mumbai,Ahmedabad,502,Morning,Clear,On Time
SpiceJet,Delhi,Pune,1442,Early Morning,Fog,Delayed
Go First,Hyderabad,Bangalore,562,Night,Rain,On Time
IndiGo,Bangalore,Mumbai,947,Early Morning,Storm,On Time
SpiceJet,Chennai,Delhi,2256,Evening,Rain,Delayed
Air India,Bangalore,Chennai,329,Evening,Cloudy,On Time
Go First,Pune,Kolkata,1801,Night,Storm,Delayed
Air India,Kolkata,Pune,1940,Morning,Storm,On Time
SpiceJet,Kolkata,Pune,1833,Night,Clear,Delayed
SpiceJet,Ahmedabad,Chennai,1938,Evening,Cloudy,Delayed
Go First,Delhi,Ahmedabad,918,Early Morning,Storm,Delayed
Go First,Delhi,Kolkata,1511,Afternoon,Clear,On Time
Akasa Air,Bangalore,Delhi,2220,Night,Storm,Delayed
Akasa Air,Bangalore,Hyderabad,589,Afternoon,Clear,On Time
Akasa Air,Mumbai,Bangalore,1019,Morning,Storm,Delayed
Go First,Bangalore,Kolkata,1961,Early Morning,Cloudy,On Time
Air India,Delhi,Chennai,2222,Early Morning,Clear,On Time
Akasa Air,Bangalore,Chennai,346,Morning,Rain,On Time
SpiceJet,Delhi,Bangalore,2244,Early Morning,Clear,On Time
SpiceJet,Kolkata,Mumbai,1661,Late Night,Cloudy,On Time
Vistara,Hyderabad,Kolkata,1468,Night,Rain,Delayed
Air India,Mumbai,Kolkata,1692,Late Night,Cloudy,Delayed
IndiGo,Delhi,Kolkata,1461,Night,Storm,Delayed
IndiGo,Mumbai,Bangalore,953,Early Morning,Rain,Delayed
Akasa Air,Kolkata,Hyderabad,1500,Morning,Cloudy,Delayed
IndiGo,Chennai,Kolkata,1378,Afternoon,Cloudy,On Time
Go First,Delhi,Mumbai,1484,Evening,Storm,Delayed
SpiceJet,Kolkata,Mumbai,1715,Night,Rain,Delayed
Akasa Air,Ahmedabad,Chennai,1980,Early Morning,Cloudy,On Time
SpiceJet,Bangalore,Kolkata,1895,Afternoon,Fog,Delayed
Go First,Hyderabad,Chennai,619,Evening,Clear,Delayed
Akasa Air,Delhi,Chennai,2128,Afternoon,Fog,On Time
SpiceJet,Bangalore,Hyderabad,577,Late Night,Cloudy,On Time
Air India,Ahmedabad,Kolkata,1948,Night,Fog,Delayed
Akasa Air,Mumbai,Bangalore,982,Evening,Rain,Delayed
SpiceJet,Mumbai,Pune,150,Early Morning,Rain,Delayed
Go First,Kolkata,Ahmedabad,1887,Early Morning,Rain,On Time
Air India,Bangalore,Pune,876,Late Night,Clear,On Time
Air India,Bangalore,Delhi,2205,Late Night,Clear,Delayed
Akasa Air,Ahmedabad,Kolkata,1980,Evening,Rain,On Time
SpiceJet,Pune,Ahmedabad,661,Night,Rain,On Time
SpiceJet,Delhi,Mumbai,1355,Afternoon,Cloudy,On Time
Air India,Hyderabad,Bangalore,560,Night,Fog,On Time
IndiGo,Delhi,Hyderabad,1497,Evening,Fog,On Time
IndiGo,Ahmedabad,Bangalore,1454,Morning,Fog,On Time
IndiGo,Pune,Kolkata,1940,Night,Rain,Delayed
IndiGo,Chennai,Kolkata,1316,Late Night,Cloudy,On Time
Vistara,Hyderabad,Pune,567,Late Night,Cloudy,On Time
Vistara,Bangalore,Delhi,2062,Evening,Cloudy,On Time
Air India,Pune,Bangalore,846,Late Night,Storm,Delayed
Air India,Pune,Kolkata,1809,Night,Fog,On Time
IndiGo,Kolkata,Delhi,1523,Early Morning,Storm,Delayed
Akasa Air,Pune,Hyderabad,586,Night,Clear,On Time
Air India,Bangalore,Chennai,356,Night,Rain,On Time
SpiceJet,Mumbai,Bangalore,959,Evening,Storm,Delayed
Go First,Chennai,Pune,1210,Afternoon,Rain,Delayed
Akasa Air,Chennai,Pune,1181,Morning,Cloudy,On Time
Akasa Air,Kolkata,Chennai,1385,Late Night,Fog,On Time
Air India,Delhi,Pune,1466,Night,Storm,Delayed
IndiGo,Chennai,Hyderabad,642,Late Night,Cloudy,On Time
Akasa Air,Chennai,Pune,1135,Late Night,Rain,On Time
Vistara,Pune,Delhi,1458,Early Morning,Storm,Delayed
Akasa Air,Chennai,Pune,1217,Early Morning,Clear,Delayed
Vistara,Chennai,Kolkata,1407,Afternoon,Cloudy,Delayed
IndiGo,Mumbai,Hyderabad,694,Afternoon,Cloudy,On Time
Akasa Air,Chennai,Delhi,2096,Late Night,Clear,Delayed
Akasa Air,Pune,Bangalore,820,Evening,Storm,On Time
Go First,Hyderabad,Bangalore,566,Early Morning,Fog,On Time
Vistara,Kolkata,Ahmedabad,1894,Night,Rain,Delayed
IndiGo,Mumbai,Pune,147,Morning,Cloudy,On Time
SpiceJet,Mumbai,Chennai,1326,Night,Rain,Delayed
Go First,Hyderabad,Delhi,1551,Late Night,Fog,Delayed
Air India,Pune,Chennai,1156,Night,Cloudy,On Time
Vistara,Pune,Mumbai,154,Early Morning,Rain,On Time
Air India,Hyderabad,Mumbai,705,Early Morning,Rain,Delayed
Akasa Air,Mumbai,Chennai,1367,Evening,Rain,Delayed
Vistara,Delhi,Mumbai,1389,Night,Storm,Delayed
IndiGo,Ahmedabad,Chennai,1967,Morning,Storm,On Time
Air India,Chennai,Kolkata,1362,Early Morning,Storm,Delayed
Vistara,Chennai,Mumbai,1394,Early Morning,Clear,On Time
Air India,Bangalore,Mumbai,994,Early Morning,Cloudy,Delayed
IndiGo,Pune,Chennai,1170,Early Morning,Rain,Delayed
Vistara,Hyderabad,Pune,562,Evening,Cloudy,On Time
Go First,Bangalore,Ahmedabad,1476,Late Night,Cloudy,Delayed
IndiGo,Ahmedabad,Kolkata,1879,Morning,Rain,Delayed
IndiGo,Chennai,Pune,1247,Night,Fog,Delayed
IndiGo,Hyderabad,Mumbai,683,Early Morning,Storm,Delayed
Vistara,Chennai,Pune,1206,Night,Fog,Delayed
Akasa Air,Pune,Hyderabad,537,Early Morning,Fog,On Time
Akasa Air,Hyderabad,Chennai,640,Afternoon,Cloudy,On Time
Go First,Hyderabad,Kolkata,1523,Early Morning,Storm,Delayed
Vistara,Bangalore,Delhi,2139,Early Morning,Storm,Delayed
Vistara,Hyderabad,Chennai,644,Late Night,Fog,Delayed
Akasa Air,Ahmedabad,Bangalore,1491,Night,Fog,On Time
Vistara,Kolkata,Pune,1933,Afternoon,Rain,On Time
SpiceJet,Hyderabad,Ahmedabad,1267,Morning,Storm,Delayed
Air India,Mumbai,Ahmedabad,540,Evening,Rain,On Time
Akasa Air,Kolkata,Ahmedabad,1940,Afternoon,Cloudy,Delayed
Akasa Air,Bangalore,Mumbai,1016,Evening,Rain,On Time
Air India,Kolkata,Delhi,1495,Afternoon,Storm,On Time
SpiceJet,Chennai,Hyderabad,622,Afternoon,Cloudy,On Time
SpiceJet,Delhi,Chennai,2256,Late Night,Clear,On Time
IndiGo,Mumbai,Hyderabad,704,Late Night,Cloudy,Delayed
Go First,Chennai,Hyderabad,604,Late Night,Rain,On Time
Akasa Air,Hyderabad,Bangalore,550,Morning,Fog,Delayed
Air India,Kolkata,Hyderabad,1485,Morning,Rain,On Time
Go First,Pune,Ahmedabad,652,Evening,Cloudy,Delayed
Air India,Pune,Ahmedabad,680,Early Morning,Rain,On Time
IndiGo,Ahmedabad,Pune,650,Early Morning,Fog,On Time
Vistara,Delhi,Hyderabad,1546,Late Night,Clear,On Time
Air India,Pune,Delhi,1494,Night,Cloudy,On Time
Air India,Bangalore,Chennai,354,Late Night,Rain,Delayed
Vistara,Pune,Ahmedabad,686,Morning,Clear,On Time
IndiGo,Delhi,Pune,1424,Night,Rain,Delayed
Air India,Mumbai,Ahmedabad,523,Evening,Cloudy,Delayed
Air India,Ahmedabad,Mumbai,543,Night,Rain,Delayed
Go First,Ahmedabad,Delhi,963,Late Night,Clear,Delayed
Vistara,Pune,Bangalore,867,Early Morning,Storm,On Time
Vistara,Mumbai,Ahmedabad,500,Afternoon,Fog,Delayed
Go First,Ahmedabad,Pune,687,Night,Cloudy,Delayed
IndiGo,Ahmedabad,Kolkata,1963,Late Night,Rain,On Time
Vistara,Delhi,Hyderabad,1518,Afternoon,Storm,On Time
Air India,Kolkata,Mumbai,1591,Night,Cloudy,Delayed
SpiceJet,Kolkata,Chennai,1314,Morning,Storm,Delayed
Go First,Delhi,Ahmedabad,895,Afternoon,Rain,Delayed
Akasa Air,Bangalore,Kolkata,1787,Afternoon,Rain,Delayed
Vistara,Ahmedabad,Delhi,953,Night,Rain,On Time
Air India,Hyderabad,Mumbai,705,Afternoon,Fog,Delayed
Air India,Ahmedabad,Kolkata,1906,Late Night,Storm,On Time
IndiGo,Ahmedabad,Hyderabad,1255,Night,Clear,On Time
Akasa Air,Delhi,Ahmedabad,942,Early Morning,Clear,On Time
Air India,Delhi,Mumbai,1423,Early Morning,Rain,Delayed
